permno,ticker,price,ret,vol,shrout,trade_date
92309,MAIN,43.81,0.002517,369545.0,72979.0,2022-08-15
92309,MAIN,43.84,0.000685,288661.0,72979.0,2022-08-16
92309,MAIN,42.83,-0.023038,324900.0,72979.0,2022-08-17
92309,MAIN,43.08,0.005837,246092.0,72979.0,2022-08-18
92309,MAIN,42.49,-0.013696,324644.0,72979.0,2022-08-19
92309,MAIN,41.87,-0.014592,460864.0,72979.0,2022-08-22
92309,MAIN,42.29,0.010031,289740.0,72979.0,2022-08-23
92309,MAIN,42.99,0.016552,283368.0,72979.0,2022-08-24
92309,MAIN,42.97,-0.000465,328335.0,72979.0,2022-08-25
92309,MAIN,42.29,-0.015825,409059.0,72979.0,2022-08-26
92309,MAIN,42.19,-0.002365,316225.0,72979.0,2022-08-29
92309,MAIN,41.41,-0.018488,311108.0,72979.0,2022-08-30
92309,MAIN,41.74,0.007969,273858.0,75076.0,2022-08-31
92309,MAIN,40.67,-0.020484,381618.0,75076.0,2022-09-01
92309,MAIN,40.4,-0.006639,234988.0,75076.0,2022-09-02
92309,MAIN,40.08,-0.007921,329479.0,75076.0,2022-09-06
92309,MAIN,40.25,0.004241,219891.0,75076.0,2022-09-07
92309,MAIN,40.46,0.005217,147664.0,75076.0,2022-09-08
92309,MAIN,40.7,0.005932,178920.0,75076.0,2022-09-09
92309,MAIN,40.76,0.001474,260156.0,75076.0,2022-09-12
92309,MAIN,39.81,-0.023307,298518.0,75076.0,2022-09-13
92309,MAIN,39.82,0.000251,218022.0,75076.0,2022-09-14
92309,MAIN,39.76,-0.001507,323589.0,75076.0,2022-09-15
92309,MAIN,39.72,-0.001006,476193.0,75076.0,2022-09-16
92309,MAIN,39.63,0.000252,267112.0,75076.0,2022-09-19
92309,MAIN,38.77,-0.021701,251625.0,75076.0,2022-09-20
92309,MAIN,38.78,0.000258,250557.0,75076.0,2022-09-21
92309,MAIN,37.4,-0.035585,455383.0,75076.0,2022-09-22
92309,MAIN,36.42,-0.026203,612303.0,75076.0,2022-09-23
92309,MAIN,34.56,-0.051071,614322.0,75076.0,2022-09-26
92309,MAIN,34.75,0.005498,648729.0,75076.0,2022-09-27
92309,MAIN,35.47,0.02072,482502.0,75076.0,2022-09-28
92309,MAIN,33.23,-0.063152,860979.0,75076.0,2022-09-29
92309,MAIN,33.64,0.012338,504066.0,75076.0,2022-09-30
92309,MAIN,34.14,0.014863,516247.0,75076.0,2022-10-03
92309,MAIN,35.66,0.044523,538332.0,75076.0,2022-10-04
92309,MAIN,35.09,-0.015984,418273.0,75076.0,2022-10-05
92309,MAIN,33.89,-0.027928,351393.0,75076.0,2022-10-06
92309,MAIN,33.23,-0.019475,381123.0,75076.0,2022-10-07
92309,MAIN,32.57,-0.019862,348943.0,75076.0,2022-10-10
92309,MAIN,32.6,0.000921,488090.0,75076.0,2022-10-11
92309,MAIN,32.68,0.002454,243802.0,75076.0,2022-10-12
92309,MAIN,33.32,0.019584,491724.0,75076.0,2022-10-13
92309,MAIN,33.14,-0.005402,300548.0,75076.0,2022-10-14
92309,MAIN,34.1,0.028968,312622.0,75076.0,2022-10-17
92309,MAIN,34.75,0.019062,557009.0,75076.0,2022-10-18
92309,MAIN,34.85,0.002878,352750.0,75076.0,2022-10-19
92309,MAIN,34.67,-0.005165,243943.0,75076.0,2022-10-20
92309,MAIN,34.66,-0.000288,336165.0,75076.0,2022-10-21
92309,MAIN,35.1,0.012695,272084.0,75076.0,2022-10-24
92309,MAIN,36.36,0.035898,314693.0,75076.0,2022-10-25
92309,MAIN,36.24,-0.0033,293741.0,75076.0,2022-10-26
92309,MAIN,36.2,-0.001104,272420.0,75076.0,2022-10-27
92309,MAIN,36.9,0.019337,270340.0,75076.0,2022-10-28
92309,MAIN,36.94,0.001084,230580.0,75076.0,2022-10-31
92309,MAIN,37.25,0.008392,218503.0,75076.0,2022-11-01
92309,MAIN,37.3,0.001342,356273.0,75076.0,2022-11-02
92309,MAIN,37.39,0.002413,339481.0,75076.0,2022-11-03
92309,MAIN,39.0,0.04306,536099.0,75076.0,2022-11-04
92309,MAIN,39.5,0.018462,338865.0,75076.0,2022-11-07
92309,MAIN,39.04,-0.011646,343527.0,75076.0,2022-11-08
92309,MAIN,37.86,-0.030225,305946.0,75076.0,2022-11-09
92309,MAIN,38.07,0.005547,411611.0,75076.0,2022-11-10
92309,MAIN,38.04,-0.000788,296758.0,75076.0,2022-11-11
92309,MAIN,37.73,-0.008149,336092.0,75076.0,2022-11-14
92309,MAIN,38.15,0.011132,340407.0,75076.0,2022-11-15
92309,MAIN,37.66,-0.012844,246336.0,75076.0,2022-11-16
92309,MAIN,37.91,0.006638,299324.0,75076.0,2022-11-17
92309,MAIN,37.79,-0.003165,225632.0,75076.0,2022-11-18
